,Classe 1,Classe 2,Classe 3,Classe 4,Classe 5,Classe 6,Classe 7,Classe 8,Classe 9,Classe 10
Yale1A,0.17095890410958905,0.18726027397260275,0.059817351598173515,0.08365296803652968,0.007899543378995434,0.000593607305936073,0.16986301369863013,0.2289041095890411,0.07662100456621004,0.014429223744292237
Ucla1A,0.16223528314208416,0.16997854277451255,0.08512920981434835,0.12897658363653325,0.017632241813602016,0.02462916316820599,0.18033398637932643,0.16834592779177163,0.05243026401716578,0.010308797462449856
Nhlbi1A,0.15882774874474845,0.1980735731119992,0.061754961232366706,0.10670492195238583,0.008709908802131365,0.0013321036991495031,0.18352290193667384,0.23106875704477917,0.038767633295761175,0.011237490180004781
Cimr1A,0.16239760526268618,0.188764810267257,0.026815322016885048,0.13941816487121117,0.006345336894369858,0.0017386940077793113,0.22473964401584542,0.21133198300740288,0.031045546613131622,0.007402893043431501
Baylor1A,0.17590972708187544,0.189555633310007,0.05432120363890833,0.08526747531296167,0.006686882824041677,0.0022840370111188867,0.2039596454397014,0.21720706010419097,0.05215379830495296,0.012654536972241661
Miami1A,0.01478255887240016,0.32057525926774766,0.11522374376897955,0.07683492809259153,0.010599896865868333,0.0006302641379705494,0.15366985618518306,0.20861742966825186,0.08130407379820088,0.017761989342806393
Standford2A,0.07551203792644005,0.21271651225482602,0.03928980881851703,0.09701608155424038,0.018033650419855607,0.019923775292039786,0.1307904440244167,0.21575310631177766,0.17661822576147243,0.01434635763641434
Yale2A,0.09105499679007062,0.18842285469719666,0.04616948427134603,0.08832655681575005,0.012197731649903702,0.02241600684784935,0.1473892574363364,0.2108923603680719,0.18221699122619303,0.01091375989728226
Ucla2A,0.10947176289085417,0.18313378674952738,0.06347102409769453,0.07353164859520654,0.015145259772712458,0.020686208470046284,0.1821777014841051,0.19771408704721757,0.14593337824036853,0.008735142652267443
Nhlbi2A,0.15319091400757165,0.1879394267171444,0.03709212186767622,0.07393636199747611,0.014625022534703443,0.02273751577429241,0.14652064178835406,0.22133585722011898,0.1307688840814855,0.011853254011177213
Cimr2A,0.12730609669833864,0.19167606630087752,0.0374710841761141,0.09687039975529088,0.014453132467929723,0.021029690098839544,0.1557152962318619,0.15774179364138644,0.1907201712963848,0.007016269332976466
Baylor2A,0.10428358028180387,0.19369978602285115,0.03443820905163713,0.0781016593322298,0.011173240744478986,0.025909402882635553,0.1568391941539828,0.2079110985506076,0.17483547983366304,0.012808349146110056
Miami2A,0.04180100304495791,0.19606394411606662,0.06741447250582125,0.09271449041733835,0.008866200967221924,0.021314705355543615,0.12332079527135949,0.24462654486835034,0.1917651800107469,0.012112663442593588
Standford3A,0.017004000941397975,0.12873617321722758,0.04848199576370911,0.057484113909155095,0.009090374205695457,0.0023240762532360554,0.3314603436102612,0.28171334431630973,0.1020828430218875,0.021622734761120265
Yale3A,0.017073825503355705,0.12665771812080537,0.053691275167785234,0.05621476510067114,0.0033288590604026846,0.0022550335570469798,0.3685369127516778,0.2658255033557047,0.09836241610738256,0.008053691275167786
Ucla3A,0.026163246122512925,0.09252254873436136,0.07640831673418232,0.04171795617824131,0.007743783711197153,0.008392829166759921,0.3107137261923413,0.334146505225935,0.08321210357870236,0.018978984355766434
Nhlbi3A,0.01749723145071982,0.1166998892580288,0.08859357696567,0.06622369878183831,0.006245847176079734,0.005271317829457364,0.31359911406423036,0.299202657807309,0.08008859357696567,0.006578073089700997
Cimr3A,0.024353462828332846,0.09171937248193747,0.03704787413626235,0.11735578113394404,0.0043215017218483425,0.006617299511580274,0.2898332170429224,0.3505143037205429,0.07373562312903734,0.0045015642935920235
Baylor3A,0.012569552860173732,0.11021709832806266,0.08673258343007352,0.06250083396714837,0.00752571954685561,0.0032691512215950787,0.30579240222569154,0.28218779605833766,0.11640847043753252,0.01279639192452931
Miami3A,0.019224418549794783,0.11034580365146011,0.08045949898570552,0.05937160918997971,0.005213001839883003,0.0026890597726093317,0.27687880360428363,0.3543897721375666,0.08387979431051563,0.007548237958201632
Standford1B,0.2031400966183575,0.20099302200751476,0.05872249060654858,0.07616747181964573,0.012560386473429951,0.0016371443907675792,0.18003220611916265,0.19337090713902308,0.05853462157809984,0.014841653247450348
Yale1B,0.16999191156645996,0.18949402354632874,0.05616967736137324,0.08510829513795273,0.007773883346814056,0.00044935741889098586,0.16145412060753123,0.23964231149456278,0.07724454030736047,0.012671879212725803
Ucla1B,0.17577429690281238,0.17406105375578498,0.07711819152723388,0.10097009611961552,0.01706568173727305,0.007097721609113564,0.19079298682805268,0.18692150231399074,0.05620327518689925,0.013995194019223924
Nhlbi1B,0.1654688972667295,0.1983388312912347,0.06236255105246623,0.09340637763116556,0.009130537229029219,0.0020617342130065976,0.19533459000942507,0.2255340873389884,0.03717012252591895,0.011192271442035816
Cimr1B,0.18384611633916817,0.1762396996440587,0.02345311814325418,0.14318104246915989,0.011994734019211079,0.006484957823394607,0.19708420693354137,0.21232141986444975,0.03754449266175825,0.007850212102003998
Baylor1B,0.17590972708187544,0.189555633310007,0.05432120363890833,0.08526747531296167,0.006686882824041677,0.0022840370111188867,0.2039596454397014,0.21720706010419097,0.05215379830495296,0.012654536972241661
Miami1B,0.010638003923627421,0.33138073001574975,0.11862065154320135,0.0783343925285292,0.008897239645215662,0.0005526235804481777,0.15860296758862702,0.21784421541267165,0.06476748362852643,0.010361692133403332
Standford2B,0.0795771591543183,0.2106764213528427,0.04076508153016306,0.0922251844503689,0.021111042222084445,0.01751503503007006,0.1373302746605493,0.2146754293508587,0.1702213404426809,0.015903031806063613
Yale2B,0.0872459349593496,0.17840447154471545,0.046239837398373985,0.09126016260162602,0.012093495934959349,0.025863821138211382,0.14608739837398374,0.21890243902439024,0.1833841463414634,0.01051829268292683
Ucla2B,0.11295131558902262,0.18492241398071776,0.06122004831443557,0.07155759646564669,0.013297351411347363,0.0213932838581906,0.18339898583211822,0.1975668676140939,0.14252758493111928,0.011164552003308015
Nhlbi2B,0.1584831827075375,0.18461753470604678,0.037244945495201714,0.07425696450200317,0.014464734929656201,0.022826795863225564,0.14690673623404454,0.216971023944843,0.1324187086555483,0.011809372961893227
Cimr2B,0.12936227172769862,0.1904579787742614,0.03547184243235491,0.09817382158906206,0.01522134047232049,0.022392198106893583,0.16016827612582465,0.15846639258055265,0.18324887656563724,0.007037001625394397
Baylor2B,0.10110578892074289,0.19229331006606243,0.03759860396374579,0.09168610552182196,0.009829234851047917,0.027092718887444578,0.14810626969853452,0.21873608860556634,0.16134546555316157,0.012206413931872006
Miami2B,0.03839634634398983,0.21415791703940865,0.05454588257450916,0.0815480954847215,0.011488299825792175,0.018809736804934318,0.13140920005649984,0.256109044681953,0.1821884269504214,0.01134705023777014
Standford3B,0.01647218293257897,0.12894860914662895,0.045674210278170674,0.059965818010372464,0.01054926921263555,0.00276991984912777,0.3370167373880245,0.27036185761433285,0.10675978312116927,0.02148161244695898
Yale3B,0.020405600552520876,0.12463112952847366,0.0550637282601871,0.05318013436303133,0.0033904690148803917,0.0018835938971557733,0.372700445783889,0.26395429145476235,0.09901425252715515,0.005776354617944371
Ucla3B,0.02534787856703637,0.10232526361338222,0.0744038807533763,0.039786831856794734,0.008221549112938122,0.0055113985743241705,0.3247853515224669,0.31927395294814276,0.08417408731695096,0.016169805734587442
Nhlbi3B,0.016832168143563253,0.11194727701830165,0.09605022932715856,0.06594825666829941,0.006167342031437859,0.004942779534220955,0.30867880838936634,0.30117557999732825,0.08113283163378902,0.007124727256534711
Cimr3B,0.018430359085963004,0.08723249909321726,0.05032644178454842,0.10944867609720711,0.0037178092129125863,0.007616974972796518,0.30361352919840406,0.3276432716721074,0.0854189336235038,0.006551505259339862
Baylor3B,0.01376406569325093,0.1231748454928225,0.07488981360648068,0.060473247482333244,0.00727599537094034,0.003028586905670598,0.30649053258808756,0.28323443232462514,0.1153571516509492,0.01231132888483983
Miami3B,0.006698789516982019,0.11333881772241157,0.09371253966388529,0.06198143142554942,0.005453049712069573,0.0017158302973322365,0.2750264425901986,0.34018098483958165,0.09006933834763192,0.011822775884357739
Standford1C,0.19656171745308235,0.20432739652795362,0.0609718353450944,0.07768492726709997,0.014124532230381813,0.0018570102135561746,0.18108663234011424,0.18913367659885766,0.0604091049773501,0.013843167046509664
Yale1C,0.18004622160205816,0.18017703745693978,0.059957266820738674,0.08707975406619282,0.008808267562028517,0.0007848951292896699,0.17101992761522697,0.2323289582697423,0.06675969127458248,0.013037980203200628
Ucla1C,0.1777637232024077,0.17346738490393213,0.07153294222842563,0.10431160447517066,0.017752382614005628,0.004776132423178418,0.18092600266067652,0.1921357381196432,0.06084661854186204,0.0164874708306981
Nhlbi1C,0.16226223885251012,0.1969324914250078,0.067411131898971,0.0981836607421266,0.009529934518241348,0.002046304957904584,0.19699095728094793,0.2192469597754911,0.036287807920174615,0.011108512628624882
Cimr1C,0.17079503086839046,0.18786698667149693,0.02454376669836526,0.13443221784479767,0.009841657987290375,0.0023547525245664084,0.18732358224275084,0.23458467297619587,0.042310072604869506,0.0059472595812766985
Baylor1C,0.15862909780547277,0.18687347602275806,0.06424410728799783,0.07959676691050302,0.006829675787952677,0.002381919985550438,0.21055721123453444,0.2269371444053102,0.05113790300731509,0.012812697552605437
Miami1C,0.012869584512120709,0.3499195650967992,0.09846341598713042,0.07189216175736396,0.00782160093193543,0.0009430298995950518,0.16092527874854384,0.21911577078826205,0.06465302046929605,0.013396571808953237
Standford2C,0.07941168827794091,0.21393862224878518,0.03996569913987995,0.0984590598446067,0.01670867655848037,0.02050255957175896,0.13499467297248136,0.19873710469557987,0.1833536886417379,0.013928228048748797
Yale2C,0.08387909319899245,0.19968513853904282,0.04716624685138539,0.0955919395465995,0.01102015113350126,0.020969773299748112,0.14445843828715366,0.2047858942065491,0.18476070528967253,0.007682619647355163
Ucla2C,0.11284271284271284,0.1831945831945832,0.06460206460206461,0.06835386835386835,0.013963813963813965,0.01978021978021978,0.1809079809079809,0.19542679542679542,0.1478965478965479,0.013031413031413032
Nhlbi2C,0.15473815168658012,0.184784394732518,0.03762822468956128,0.07713433956949367,0.015210910542006056,0.02321541747846295,0.1458651205370766,0.21830473463064248,0.1323208375390249,0.01079786859463393
Cimr2C,0.12983998325627413,0.19129706794527845,0.03660787335654623,0.09701847517932911,0.013699412066898795,0.022356679414730674,0.16395532469509294,0.16445002568639763,0.1739064254047986,0.006868732994653424
Baylor2C,0.11457456595353208,0.19528665661884162,0.04003797294916714,0.06856661903736616,0.013055647986846483,0.027364011822505824,0.14893617021276595,0.21789426295288614,0.16243222611521071,0.01185186635087788
Miami2C,0.03694852062520912,0.21260933989771044,0.06491085512164811,0.07289326514028967,0.011567324697672195,0.014769848477606233,0.14045695712442044,0.2513264184312413,0.18462310597007792,0.009894364514124563
Standford3C,0.016489988221436984,0.1305064782096584,0.049116607773851594,0.05753828032979976,0.00977620730270907,0.0032391048292108363,0.3351590106007067,0.27028857479387514,0.10659599528857479,0.02128975265017668
Yale3C,0.01614770972722594,0.12654400411734432,0.05037313432835821,0.049279464745239324,0.003088008234688626,0.003216675244467319,0.3930777148739063,0.25495367987647966,0.09830159547092125,0.005018013381369017
Ucla3C,0.026983441978785744,0.08926340654598315,0.07000249846684989,0.036046062643377924,0.0064960138097076795,0.007563540554659641,0.31135439616598903,0.34403888522951825,0.0861289663161242,0.022122788289004474
Nhlbi3C,0.02022222222222222,0.1118,0.09146666666666667,0.06315555555555556,0.005222222222222222,0.0042,0.3088888888888889,0.3207111111111111,0.0676,0.006733333333333333
Cimr3C,0.020537449971412235,0.09234991423670669,0.062321326472269865,0.09106918238993711,0.003704974271012007,0.012166952544311035,0.30220697541452257,0.32633504859919954,0.08448256146369354,0.004825614636935391
Baylor3C,0.012222563158433057,0.11872251201800144,0.07125140636186969,0.06620128873887696,0.006814462514063618,0.0029661450342640893,0.30519331083154344,0.28462207221028946,0.11900378439194027,0.013002454740718011
Miami3C,0.004656012804035211,0.10505128889104445,0.09821277008511774,0.057181657249557434,0.0066687683391129324,0.0012610034677595363,0.28345902951233115,0.30656934306569344,0.12493634357494483,0.01200378301040328
