"","CCR7","CD4","CD45RA","CD3","HLADR","CD38","CD8"
"1",868.731689453125,1325.5283203125,2714.96557617188,2651.04760742188,1613.96374511719,740.14990234375,1820.49731445312
"2",1333.16235351562,1047.70349121094,3402.31103515625,2291.1640625,1228.74743652344,1361.08520507812,2378.09228515625
"3",1236.77075195312,1157.77514648438,3474.54443359375,2469.7626953125,1680.93347167969,2053.81958007812,2485.84838867188
"4",1335.58312988281,933.75341796875,3560.93603515625,2474.4189453125,392.22998046875,834.819213867188,2698.22802734375
"5",1886.40246582031,893.645874023438,3105.56274414062,2242.74291992188,527.686340332031,845.065734863281,2753.3212890625
"6",1382.92395019531,1258.05688476562,2751.1630859375,2277.54443359375,1254.01965332031,829.867858886719,2907.77001953125
"7",947.500915527344,1080.22290039062,2963.41870117188,2457.0576171875,680.857177734375,1179.89538574219,2944.9482421875
"8",905.113037109375,439.788787841797,3092.76953125,2159.28784179688,395.737731933594,142.824157714844,3266.41674804688
"9",1188.92822265625,1898.95910644531,3559.73583984375,2272.69165039062,1440.7265625,3373.771484375,1518.98034667969
"10",979.847900390625,1071.04650878906,3139.67211914062,2362.66381835938,1280.55395507812,766.451843261719,1645.76196289062
"11",888.826354980469,733.620788574219,2834.65087890625,2216.68896484375,361.283447265625,75.2109527587891,3212.99560546875
"12",1442.26977539062,725.680969238281,3038.03662109375,2391.84545898438,418.727752685547,1027.53649902344,3084.89916992188
"13",1275.18725585938,604.158264160156,2651.6494140625,2371.22265625,780.410583496094,812.484802246094,2927.94311523438
"14",926.49560546875,793.530334472656,3482.12329101562,2621.52954101562,1675.30920410156,2164.34692382812,2684.86694335938
"15",741.279663085938,686.327819824219,2877.14477539062,2266.55590820312,1062.17883300781,741.16845703125,2871.13037109375
"16",1143.728515625,733.719482421875,2828.27709960938,2814.89135742188,1724.62438964844,1178.69714355469,2413.18896484375
"17",900.8330078125,1208.92419433594,2800.30541992188,1942.75317382812,799.655944824219,796.170837402344,2339.17919921875
"18",1029.91931152344,920.367370605469,2918.01098632812,2315.75146484375,1398.65881347656,836.781127929688,3128.65405273438
"19",1084.4541015625,494.719665527344,3392.3916015625,2485.52319335938,1429.61706542969,1766.96520996094,2519.36328125
"20",1336.84521484375,1159.48303222656,3451.3525390625,2539.859375,1538.97412109375,1105.54064941406,2516.29931640625
"21",973.115051269531,325.821380615234,2981.34057617188,2408.20581054688,512.27490234375,571.461730957031,3214.3896484375
"22",1282.26647949219,754.576171875,3472.71142578125,2502.75610351562,762.099731445312,927.12939453125,2553.3046875
"23",1004.05139160156,795.631713867188,3141.79809570312,2451.21752929688,792.069030761719,831.141235351562,3086.02758789062
"24",1405.02221679688,1124.67578125,2604.5712890625,2182.23168945312,941.184265136719,2360.89111328125,3212.2275390625
"25",1336.79431152344,1382.95581054688,3483.67822265625,2660.74731445312,954.615539550781,1208.861328125,2149.13012695312
"26",1051.13500976562,773.654418945312,3103.427734375,1900.69567871094,1118.8583984375,1899.54040527344,2897.240234375
"27",1002.10858154297,1031.41076660156,3111.64721679688,2241.33154296875,1144.99438476562,736.978881835938,2778.66430664062
"28",922.748229980469,388.526428222656,2694.63818359375,2703.98388671875,1543.09533691406,793.384643554688,2647.6923828125
"29",1508.06274414062,1130.55187988281,3711.94775390625,2212.244140625,853.536254882812,868.593505859375,2846.88549804688
"30",1223.47277832031,1143.92004394531,3219.98876953125,2393.90844726562,1639.04028320312,1091.11682128906,2236.30786132812
"31",1040.62268066406,780.245239257812,2695.9169921875,1843.033203125,1453.32531738281,446.701141357422,2527.818359375
"32",988.236450195312,1282.583984375,3287.5498046875,2278.19506835938,628.077697753906,827.816589355469,2776.1162109375
"33",1128.11938476562,1233.10705566406,3510.67846679688,2582.94018554688,1010.58001708984,1201.79406738281,2448.39477539062
"34",1151.63598632812,1432.29797363281,3479.04321289062,2460.4365234375,1223.6806640625,851.345825195312,3202.83251953125
"35",1332.74340820312,1267.98425292969,3643.74731445312,2372.56274414062,1075.71545410156,935.862121582031,2787.08276367188
"36",900.373596191406,558.488830566406,2888.095703125,1855.12634277344,667.248229980469,352.364562988281,3137.3662109375
"37",1488.23864746094,990.065856933594,3491.42456054688,2374.58325195312,1585.48010253906,626.389099121094,3062.06909179688
"38",850.972778320312,799.379638671875,3073.31811523438,2834.78466796875,693.169311523438,1567.98852539062,1656.8271484375
"39",1171.33837890625,679.75927734375,3153.8544921875,2121.08959960938,1286.16027832031,635.350036621094,3209.3056640625
"40",1325.68640136719,955.206787109375,3511.62084960938,2500.9365234375,1141.58630371094,1415.16760253906,2385.73901367188
"41",966.75830078125,786.364929199219,2800.83935546875,2785.44067382812,1880.89855957031,1033.44079589844,1982.32409667969
"42",1758.92102050781,1125.76025390625,3362.48828125,2454.83422851562,784.880004882812,342.535614013672,3265.51318359375
"43",962.408630371094,945.271423339844,2731.59106445312,2362.15502929688,861.148315429688,856.690002441406,2753.74169921875
"44",1096.42419433594,611.225341796875,2693.15502929688,2145.04272460938,992.59521484375,273.428558349609,3192.14453125
