"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"2",6305,4047,1843,6285,5088,4974,1549,3476,1740,1081,"Mature SIg Kappa"
"6",6104,2146,2137,7516,5976,4676,949,7397,2654,1708,"Mature SIg Lambda"
"7",2115,3589,6472,4786,5025,1259,5597,1996,1206,680,"CD4+CD8-"
"9",1734,3188,7079,5810,5431,1686,5805,2120,1910,763,"CD4+CD8-"
"14",2528,5204,1143,4440,5516,5646,1677,5644,5636,3128,"Monocytes"
"15",1564,3694,7279,5992,5547,2371,6420,2257,1428,928,"CD4+CD8-"
"17",1595,3938,7043,5477,5216,1850,5964,2032,1500,624,"CD4+CD8-"
"22",6334,3585,3299,6610,5328,3877,2480,5640,1468,891,"Mature SIg Lambda"
"29",3106,3061,7177,5855,5415,1276,5891,2414,1394,854,"CD4+CD8-"
"33",1604,4225,7157,5820,5305,1151,6170,2804,1612,616,"CD4+CD8-"
"35",2260,4447,1680,4974,5663,5151,1840,5352,3223,3037,"Monocytes"
"48",3009,6280,332,2411,5690,5102,2151,6021,2226,1572,"CD56dim"
"60",6493,4594,2511,6800,5593,6665,2317,4025,1541,1484,"Mature SIg Kappa"
"63",3220,4943,3155,4003,5595,5488,1921,5367,2427,3311,"Monocytes"
"66",2028,3756,6989,1811,5864,2727,4781,6504,2144,1447,"CD8+CD4-"
"68",2922,4669,1524,4771,5493,5372,3555,5306,2813,3684,"Monocytes"
"77",6262,4091,2842,6661,5150,4247,2472,6266,1565,755,"Mature SIg Lambda"
"83",6381,3357,2328,6674,5449,3823,2913,6350,1580,1070,"Mature SIg Lambda"
"86",6475,3999,4421,7120,5390,7001,2971,3572,2363,1905,"Mature SIg Kappa"
"87",2320,2580,1933,2187,5197,1565,1950,2488,1873,1031,"CD56dim"
"88",1877,2137,6878,5758,5428,1945,6527,2261,1302,973,"CD4+CD8-"
"93",843,1027,6734,1914,5548,2179,5520,6058,2267,956,"CD8+CD4-"
"109",1538,1426,7351,5966,5421,2248,6235,2247,1722,1163,"CD4+CD8-"
"111",2481,5759,2003,1621,5534,5487,846,4931,1851,1171,"CD56dim"
"112",1639,4401,6829,1283,5731,2561,5733,6218,1887,1152,"CD8+CD4-"
"122",2739,1545,7000,5815,5556,2229,6478,1271,1469,939,"CD4+CD8-"
"130",1858,3506,3617,4270,5472,3261,3479,4159,4143,6756,"Eosinophils"
"131",1309,1740,6615,5617,4884,1620,6288,1134,1241,651,"CD4+CD8-"
"141",2561,6051,35,1811,5339,5352,1544,4971,1928,1119,"CD56dim"
"142",1866,3465,2926,4314,5281,3350,3362,4063,3834,6891,"Eosinophils"
"146",2301,1583,7285,5933,5541,2518,6027,2582,1740,1322,"CD4+CD8-"
"147",2600,5235,985,4982,5840,5385,1992,5343,3424,4212,"Monocytes"
"149",3438,3167,6875,5951,5413,1348,6287,2472,1829,1266,"CD4+CD8-"
"152",3758,5065,2830,4420,5833,5771,1619,5760,2668,4251,"Monocytes"
"153",3661,4853,3057,4742,5661,5260,1722,5223,2691,4163,"Monocytes"
"160",2096,4928,7368,5980,5490,1321,6228,2000,1363,1204,"CD4+CD8-"
"163",1191,1975,7053,5804,5269,1761,5482,2765,1666,766,"CD4+CD8-"
"164",2478,3908,2631,4714,6066,5010,3102,5486,5839,2653,"Monocytes"
"168",6405,3167,3104,6661,5382,6504,412,4614,1317,930,"Mature SIg Kappa"
"169",2813,4445,7127,5964,5359,1328,6015,2229,1375,849,"CD4+CD8-"
"170",2480,4859,2699,4970,5726,5363,2224,5506,3421,3449,"Monocytes"
"171",6000,4010,1966,6495,5327,3325,1842,6189,1673,755,"Mature SIg Lambda"
"172",742,2083,7189,5894,5602,2435,6637,2196,1721,1215,"CD4+CD8-"
"176",2364,3036,6847,5597,5258,1596,5960,1022,1565,783,"CD4+CD8-"
"177",1379,1520,6750,1851,5447,2204,5989,5875,1434,685,"CD8+CD4-"
"184",2504,1885,6894,2554,5805,2272,5411,6249,2069,1530,"CD8+CD4-"
"186",1181,3883,7198,5935,5375,1486,5676,2258,1200,783,"CD4+CD8-"
"205",2318,5214,2208,4263,5488,5504,2192,5660,3490,3870,"Monocytes"
"218",2605,3013,3555,4453,5288,3008,3265,3977,4086,6880,"Eosinophils"
"222",2709,4790,3277,4424,5567,5396,1629,5262,3428,2901,"Monocytes"
"231",1947,2715,6933,1304,5580,2151,4819,6405,2096,1234,"CD8+CD4-"
"236",6470,3520,1326,6009,5318,3527,2068,5732,1988,1075,"Mature SIg Lambda"
