"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"1",2430,5099,7024,5527,5022,1526,5998,1512,1396,993,"CD4+CD8-"
"2",6227,3508,2162,6180,5234,6011,2400,2908,1704,903,"Mature SIg Kappa"
"4",2106,5283,2480,1361,5232,5345,1343,3565,2116,1344,"CD56dim"
"7",2360,1976,3809,4282,5305,3497,3942,4169,3356,7401,"Eosinophils"
"34",2252,2131,3568,4255,5334,3384,3709,4203,4149,7404,"Eosinophils"
"35",2217,5447,2514,2261,5137,4496,1647,3856,1948,1350,"CD56dim"
"37",2398,4744,6994,5597,5306,1410,6031,2858,1753,1045,"CD4+CD8-"
"38",1894,3199,6904,5749,5343,1161,5489,1935,1396,987,"CD4+CD8-"
"40",5932,2864,1159,6286,4978,6086,2524,2425,1817,827,"Mature SIg Kappa"
"41",2072,3447,6717,5609,5494,2021,5469,1678,1599,995,"CD4+CD8-"
"43",1832,4536,1238,2043,5418,4920,2278,2993,2371,1826,"CD56dim"
"44",2934,1902,6978,966,5634,460,6055,6370,2015,1518,"CD8+CD4-"
"48",2186,6134,7099,5890,5220,2200,6144,2391,1547,1442,"CD4+CD8-"
"52",2611,3855,1359,4789,5010,4614,2268,4325,3396,2798,"Monocytes"
"54",5241,2322,1738,5756,5122,6795,3712,3532,1814,1196,"Mature SIg Kappa"
"59",2104,3934,1719,4255,4323,4497,2224,4401,2863,2481,"Monocytes"
"63",2114,2671,6517,3015,5117,3532,5226,5750,2015,1134,"CD8+CD4-"
"64",1912,4218,1341,837,5389,4107,2297,4001,2071,1502,"CD56dim"
"69",2814,3049,3261,4242,5220,3165,3664,3924,4047,7542,"Eosinophils"
"71",1815,3752,1801,3966,4678,4550,2248,4343,2689,2872,"Monocytes"
"87",1833,4882,3058,2616,5130,5198,2798,3654,2165,1791,"CD56dim"
"91",2460,5448,1603,1082,5540,5349,961,4365,2016,1400,"CD56dim"
"94",1915,2316,7069,5870,5527,1446,5474,2536,1987,1288,"CD4+CD8-"
"95",2008,4178,1448,4228,4873,4687,2049,4439,3209,2640,"Monocytes"
"99",5759,4047,1103,6596,5415,1015,2358,6717,1781,761,"Mature SIg Lambda"
"108",2237,3497,2332,4631,4316,4872,1773,4635,2852,3166,"Monocytes"
"109",2509,3472,6678,5573,5319,1730,5286,2747,1429,1012,"CD4+CD8-"
"110",2222,3137,3620,4551,5059,3464,3970,4600,4149,6851,"Eosinophils"
