"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"4",3587,3381,6959,2479,5474,2215,5828,6359,2314,1170,"CD8+CD4-"
"5",2251,3532,6993,5752,5317,1618,5890,2505,1895,912,"CD4+CD8-"
"12",2363,3055,3868,4339,5473,3729,3703,4415,3420,7248,"Eosinophils"
"13",2104,5558,1366,1858,5361,5444,2879,2393,2493,1184,"CD56dim"
"16",1161,4182,6506,5549,5451,2565,6049,1252,2171,1132,"CD4+CD8-"
"18",3798,5031,7043,5931,5458,2470,5870,1454,1980,1203,"CD4+CD8-"
"21",1838,2836,7200,5631,5281,1640,5220,2477,1567,850,"CD4+CD8-"
"23",1786,4638,3203,4365,5055,4838,2689,4994,4014,2944,"Monocytes"
"24",2266,2686,3730,4238,5276,3124,3667,4351,3983,6985,"Eosinophils"
"29",1624,2179,6790,1693,5477,2277,4874,6191,2075,1148,"CD8+CD4-"
"31",1891,2392,6551,5607,5609,1437,5284,2786,2529,1406,"CD4+CD8-"
"43",2604,2359,4093,3984,5289,3249,3853,4337,3601,6655,"Eosinophils"
"46",2347,2243,6809,2316,5344,2421,5711,6201,1743,954,"CD8+CD4-"
"55",2354,3321,3633,4126,5373,3201,3679,4271,4626,6801,"Eosinophils"
"59",2122,1134,6766,5846,5595,1002,5214,2607,2650,1506,"CD4+CD8-"
"60",1376,2857,7365,5680,5286,1370,5379,2174,1801,710,"CD4+CD8-"
"65",6187,4012,3164,6466,5389,6543,277,3138,2166,870,"Mature SIg Kappa"
"68",2317,4990,1282,1831,5282,5663,2610,5576,2570,1417,"CD56dim"
"69",2718,1960,7009,617,5481,1643,5600,6252,1673,895,"CD8+CD4-"
"74",2289,1986,4010,4177,5334,3085,3613,3812,3984,7164,"Eosinophils"
