"","CD19/TCRgd:PE Cy7-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD3:APC-A LOGICAL","CD38:APC H7-A LOGICAL","CD45:PO-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"1",2559,3390,7332,5585,5345,1709,5796,1749,1739,1288,"CD4+CD8-"
"2",2339,3901,7108,5459,5100,1879,6131,2398,1876,806,"CD4+CD8-"
"8",2359,2956,6970,5332,5253,1745,5954,1982,1675,747,"CD4+CD8-"
"10",2417,4879,2646,4002,5105,3599,3103,4660,2762,3002,"Monocytes"
"15",2594,5055,7160,5844,5463,1184,6560,2608,1722,1408,"CD4+CD8-"
"17",2616,3892,1888,2329,5541,5235,1478,5279,1863,1518,"CD56dim"
"18",1931,1524,6614,1727,5511,2131,5823,6264,2124,1486,"CD8+CD4-"
"20",1869,1267,7205,5656,5350,1533,6265,2375,1863,1010,"CD4+CD8-"
"26",2287,4421,3563,4671,5344,3066,3773,4847,3772,6802,"Eosinophils"
"28",1978,4089,7183,5637,5250,1253,5887,2589,1572,944,"CD4+CD8-"
"33",2266,4507,7331,5890,5520,1428,6539,1620,1620,1131,"CD4+CD8-"
"34",2825,5087,7113,5733,5330,1321,6333,2228,1635,967,"CD4+CD8-"
"39",3286,4653,3714,4179,5106,4376,2962,5646,2451,3946,"Monocytes"
"42",2645,3222,3902,4646,5462,2969,2825,4982,4098,6772,"Eosinophils"
"45",1701,2828,6890,5527,5532,1502,6850,1382,1486,1470,"CD4+CD8-"
"46",2635,3012,6832,2377,5536,961,6391,6340,1864,1459,"CD8+CD4-"
"48",2777,3734,3655,4473,5218,2730,3968,4534,4612,6566,"Eosinophils"
"50",2715,2126,6768,5375,5356,1911,5348,2557,1586,875,"CD4+CD8-"
"53",5192,3633,2962,6145,4817,1807,2141,5633,1551,941,"Mature SIg Lambda"
"56",2294,3335,6801,2527,5390,2362,5990,6443,1587,1147,"CD8+CD4-"
"58",1963,3904,3484,4347,5320,3270,3287,4583,4394,6803,"Eosinophils"
"61",2770,5249,2674,3877,5194,3964,2469,4828,3357,3321,"Monocytes"
"64",2718,5090,6904,5525,5153,1985,6251,2791,1876,1021,"CD4+CD8-"
"65",2719,2850,7282,5695,5381,1679,6099,2705,1602,1083,"CD4+CD8-"
"66",2862,2967,7055,5367,5109,2202,6279,1426,1483,947,"CD4+CD8-"
"67",2457,4575,2622,4293,5335,3900,1974,4415,2937,3223,"Monocytes"
"70",6369,5307,2254,6752,5470,6196,4637,1727,1756,1239,"Mature SIg Kappa"
"71",2389,3687,3167,4525,5125,3201,3739,4618,4542,6943,"Eosinophils"
"74",2346,421,6849,1430,5720,2520,5347,6442,2063,1489,"CD8+CD4-"
"75",1120,2084,7049,5373,5074,1553,6712,2532,1720,1086,"CD4+CD8-"
"83",2917,3565,7064,5769,5327,2462,6153,2710,2160,1432,"CD4+CD8-"
"84",3063,3567,6632,602,5449,2585,6315,6126,2029,1288,"CD8+CD4-"
"89",2691,3158,6820,1586,5562,1268,6370,6402,1579,1340,"CD8+CD4-"
"91",2266,2615,2104,2204,5259,4978,1367,4924,2021,1384,"CD56dim"
"92",2342,4382,1347,2717,5398,4754,2320,5222,2006,1481,"CD56dim"
"95",1651,2782,6798,2296,5705,2309,6399,6308,2109,1422,"CD8+CD4-"
"99",3386,4612,6452,5289,5330,1359,6502,1953,1589,777,"CD4+CD8-"
"100",3276,4846,7121,5524,5304,1736,5923,1773,1713,898,"CD4+CD8-"
"101",1744,4563,7104,5750,5505,1746,6344,1911,1495,1175,"CD4+CD8-"
"103",5524,4604,2390,6196,5055,4690,4405,2623,1642,624,"Mature SIg Kappa"
"104",6137,4966,2579,6268,5137,4341,4913,4088,1947,1879,"Mature SIg Kappa"
"112",2090,4385,6435,1692,5306,3093,5773,6261,1505,941,"CD8+CD4-"
"116",2639,1793,6138,2662,4704,1492,5223,5673,1717,975,"CD8+CD4-"
