"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"3",2210,3522,6782,4611,5759,2654,5813,6244,1939,1509,"CD8+CD4-"
"4",2867,3445,6537,5799,5686,2171,6634,2732,1839,1674,"CD4+CD8-"
"10",2341,1913,3569,4161,5245,3340,3463,3592,2925,6558,"Eosinophils"
"17",2889,3508,4070,4575,5278,3602,4025,4167,3327,7331,"Eosinophils"
"18",2287,2234,2288,1479,5404,5213,2641,3918,1884,1697,"CD56dim"
"23",2336,4891,3072,4016,4729,5387,2796,4785,2961,2867,"Monocytes"
"26",6109,3834,2227,6188,5241,6421,2817,3189,1691,1230,"Mature SIg Kappa"
"28",3501,2950,3653,4568,5158,3371,3835,4113,3279,6353,"Eosinophils"
"29",2134,4599,2891,4039,4743,5441,3162,4810,2690,4499,"Monocytes"
"34",2750,1776,5995,5740,5519,3145,5675,2609,1822,1532,"CD4+CD8-"
"35",2026,4206,3031,4802,5309,5887,3034,5186,3055,3258,"Monocytes"
"37",1888,4618,2858,4784,4913,5750,3806,5108,3067,4076,"Monocytes"
"45",2548,2205,2585,1764,4753,6881,3477,4172,1814,1316,"CD56bright"
"46",3320,4378,6660,5656,5486,1766,6442,2630,1432,1356,"CD4+CD8-"
"56",2735,2520,3328,4363,5085,3428,3331,3896,3373,5798,"Eosinophils"
"58",2339,2709,6394,5832,5684,1982,5557,2783,1692,1582,"CD4+CD8-"
"59",2392,5206,3131,4065,5081,5801,2374,5169,3146,3591,"Monocytes"
"61",2577,3177,6841,3829,5591,1479,5574,6154,1497,1260,"CD8+CD4-"
"65",1765,2988,6576,5610,5520,1783,6604,2538,1680,1428,"CD4+CD8-"
"66",2483,5177,2929,4733,5008,5483,1961,4896,3149,3632,"Monocytes"
"71",2256,2818,3733,4048,5119,2722,3405,3767,3054,6025,"Eosinophils"
"72",2347,2904,6804,945,5712,2522,6043,6461,1691,1692,"CD8+CD4-"
"73",2306,4191,7183,5680,5520,2046,6414,2238,1480,1367,"CD4+CD8-"
"74",2392,5243,2942,4093,5059,5722,2444,5073,3187,3508,"Monocytes"
"75",2550,4809,3017,4287,4827,5519,3007,4859,2859,3113,"Monocytes"
