"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"3",1561,2476,6780,5673,5343,1290,5904,2536,2316,932,"CD4+CD8-"
"8",1874,2728,6618,1988,5426,5034,3221,5828,2436,1035,"CD8+CD4-"
"12",1870,3319,2320,4477,4859,4982,2641,4722,3840,2948,"Monocytes"
"14",2351,3111,6756,917,5589,1975,5146,6516,2444,1406,"CD8+CD4-"
"16",2266,3593,7048,5854,5529,2447,6152,3002,2367,1186,"CD4+CD8-"
"18",2247,5150,2394,1618,5613,4996,2211,3489,2633,1637,"CD56dim"
"19",1870,2409,6852,1196,5646,1679,5689,6212,2526,1302,"CD8+CD4-"
"22",2146,3582,2087,4350,5055,4906,1594,4580,4112,3022,"Monocytes"
"23",2078,5095,2739,1961,5424,5111,1933,5771,2710,1573,"CD56dim"
"24",1219,3498,6471,5615,5033,2081,6333,2173,2319,847,"CD4+CD8-"
"25",2330,5324,2690,935,5689,4982,1919,2939,2858,1909,"CD56dim"
"27",2086,3906,1762,4068,4791,5364,1928,5030,3881,2914,"Monocytes"
"37",2389,5445,6878,5671,5532,1698,4997,2504,2718,1240,"CD4+CD8-"
"39",2258,3680,1746,3701,4562,4949,2852,4778,2952,2674,"Monocytes"
"41",2811,3416,1825,3913,4754,5069,1619,4899,3497,2904,"Monocytes"
"44",2680,3953,2522,4174,4244,4714,2218,4712,4293,3873,"Monocytes"
"53",3323,2651,6886,5976,5502,1303,6330,2518,2463,1040,"CD4+CD8-"
"58",2457,3327,2414,3838,5096,5201,1619,4942,4745,3401,"Monocytes"
"59",2874,3976,2851,4317,5344,5268,1887,4924,3802,3157,"Monocytes"
"60",2673,4683,7208,5833,5338,1306,5706,2022,2165,920,"CD4+CD8-"
"61",2249,3922,6975,5591,5290,2216,5634,2885,2004,979,"CD4+CD8-"
"62",1769,4435,7349,5761,5279,2543,5352,2893,2052,767,"CD4+CD8-"
"65",2731,3533,6924,5472,5302,1894,5725,2092,1915,881,"CD4+CD8-"
"70",2918,2660,6632,3523,5702,717,5462,6367,2472,1115,"CD8+CD4-"
"75",3172,4193,7244,5791,5498,1900,6130,2390,2201,1170,"CD4+CD8-"
