"","CD19/TCRgd:PE Cy7-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD3:APC-A LOGICAL","CD38:APC H7-A LOGICAL","CD45:PO-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"2",2374,1799,7017,1515,5709,1886,5374,6359,2302,1411,"CD8+CD4-"
"10",2243,1113,6695,5156,5227,1838,6036,1514,899,677,"CD4+CD8-"
"13",3121,4904,7227,5351,5115,2942,6277,3572,1585,1167,"CD4+CD8-"
"14",2591,1275,7013,5481,5293,2163,5885,1467,1450,1080,"CD4+CD8-"
"19",3125,4780,3572,4996,5625,3501,2769,4925,5785,7280,"Eosinophils"
"20",1388,3244,6764,5630,5523,1984,6189,1400,1103,1136,"CD4+CD8-"
"26",1863,4908,7148,5557,5197,2915,5707,3743,741,1335,"CD4+CD8-"
"27",2523,1722,6930,5422,5272,1910,5928,2502,1227,884,"CD4+CD8-"
"29",1962,2449,6787,1649,5470,892,5474,5825,1921,1063,"CD8+CD4-"
"33",3148,5367,6756,3315,4271,3744,4773,5053,728,1074,"CD8+CD4-"
"34",2411,2923,6728,2379,5329,2047,6118,5964,1554,912,"CD8+CD4-"
"39",1872,2371,6441,5162,4743,1504,6261,2943,2054,901,"CD4+CD8-"
"40",1721,2507,6877,5398,5262,1618,6094,3074,1109,909,"CD4+CD8-"
"41",1922,3280,6941,5517,5316,1225,5897,2338,1439,955,"CD4+CD8-"
"46",2536,3820,3707,4953,5824,3547,4414,4819,4533,6943,"Eosinophils"
"47",1796,3196,6871,1920,5253,817,5726,6039,1176,972,"CD8+CD4-"
"51",2763,2020,5632,3031,4613,3012,2805,3527,1490,915,"TCRgd-"
"55",2520,4001,3112,2403,5221,2003,2039,4211,1774,1032,"CD56dim"
"60",2002,3078,6825,1749,5865,1879,5606,6456,2508,1741,"CD8+CD4-"
"62",5516,4515,1869,6196,4993,5418,2626,2095,1393,738,"Mature SIg Kappa"
"66",2043,4420,6782,5275,4966,2259,5559,1637,1156,635,"CD4+CD8-"
"71",1725,1752,7280,5645,5103,1618,5655,1259,1593,1015,"CD4+CD8-"
"77",2014,5106,6897,5449,5386,1698,6008,3049,1645,1621,"CD4+CD8-"
"81",1513,2313,6577,4845,4657,1804,5959,1571,1618,791,"CD4+CD8-"
"83",2165,4232,6966,4965,5061,1782,5715,1613,1635,735,"CD4+CD8-"
"84",2584,3637,6732,4887,4747,1569,5928,2926,1469,697,"CD4+CD8-"
"86",3091,3957,3900,3672,5127,3242,1531,4260,2199,4286,"Monocytes"
"87",3231,5149,3848,5103,5624,3402,2751,5309,4876,6839,"Eosinophils"
"89",3109,4800,6730,5449,5304,2253,6022,2834,1154,1172,"CD4+CD8-"
"90",2935,2953,6709,1716,5164,1913,5365,5796,1930,1139,"CD8+CD4-"
"93",2057,3479,7028,5459,5151,2330,5972,2088,1202,952,"CD4+CD8-"
"97",2158,4107,7124,5524,5260,1863,5557,648,1397,975,"CD4+CD8-"
"99",2498,2398,6967,5265,4848,1739,5335,2620,1482,712,"CD4+CD8-"
"101",2425,4048,3375,4359,4908,3468,2267,4307,2455,1733,"Monocytes"
"102",2559,2922,6795,5099,4902,2558,5658,1707,1329,823,"CD4+CD8-"
"105",1680,3319,7300,5739,5445,1424,6423,2869,1734,927,"CD4+CD8-"
"106",2331,4563,6714,5551,5083,1740,5858,1608,1762,1454,"CD4+CD8-"
"112",3069,3822,6638,913,5289,1962,6294,5966,1973,1060,"CD8+CD4-"
"113",2077,3369,6902,1744,5436,1422,5505,6208,1880,1510,"CD8+CD4-"
"114",2573,4503,3374,4771,5585,3609,3268,4577,2624,3209,"Monocytes"
"119",1578,3233,6890,5387,5063,1870,5702,1193,900,638,"CD4+CD8-"
"120",2366,2167,6798,5444,5279,1643,6159,3171,1323,989,"CD4+CD8-"
"130",2092,2038,6812,1497,5467,1922,6100,5849,1194,1012,"CD8+CD4-"
"143",1760,3811,6838,5515,5239,1877,6233,1934,1175,1004,"CD4+CD8-"
"144",2831,4590,3923,4637,5434,4128,3234,4854,2759,3209,"Monocytes"
"155",2059,3741,6616,2014,5315,1294,5891,6139,1141,998,"CD8+CD4-"
"157",2709,3897,6817,1428,5529,2184,5380,6085,2212,1313,"CD8+CD4-"
"160",2363,4405,3964,5003,5744,3324,4413,4942,4637,7461,"Eosinophils"
"161",5847,4816,2614,6623,5401,5708,3422,5313,1832,972,"Mature SIg Kappa"
"162",3037,4038,4072,4963,5706,3280,3214,4845,5195,6904,"Eosinophils"
"163",1831,3529,6455,5259,5284,1912,6392,3016,1068,895,"CD4+CD8-"
"173",2112,5319,4643,4872,5323,2750,4183,3814,3182,2625,"Monocytes"
"178",3457,4657,3936,5224,5778,3930,3708,5081,5235,7116,"Eosinophils"
"183",2338,4437,2772,4010,5314,3664,1940,4255,1980,2479,"Monocytes"
"192",2279,4105,6834,2216,5659,1846,5346,6207,2101,1405,"CD8+CD4-"
"193",1448,1776,6322,5570,5703,1725,6208,2246,1392,1189,"CD4+CD8-"
"194",3431,4238,3388,4266,4993,3254,3180,4396,2683,4092,"Monocytes"
"200",3149,4097,6729,2282,5555,2078,6210,6283,2374,1432,"CD8+CD4-"
"202",2474,2684,3423,4577,5547,3339,3857,4315,5817,6548,"Eosinophils"
"204",2726,4524,6938,5387,5310,2492,6218,985,885,840,"CD4+CD8-"
"207",2461,3810,4357,5292,6008,3470,4517,4676,6205,8191,"Eosinophils"
"208",2495,2671,6570,1587,5040,1558,5227,5540,2084,1156,"CD8+CD4-"
"213",2281,3826,7298,5596,5343,2021,5811,1828,1147,858,"CD4+CD8-"
"215",1882,3035,7261,5645,5400,2100,6299,2285,1824,1228,"CD4+CD8-"
"216",2832,3050,6330,2520,5306,1219,5999,5924,1783,1116,"CD8+CD4-"
"219",2102,3956,6628,5510,5436,1772,6235,2436,1587,1116,"CD4+CD8-"
"222",2095,5164,3760,3675,5362,3679,2873,4630,1600,1717,"Monocytes"
"223",3349,3822,7260,5487,5347,2158,5843,3212,1081,989,"CD4+CD8-"
"224",2139,3871,7277,5614,5456,1717,6011,2332,1307,995,"CD4+CD8-"
"235",1993,2560,7244,6135,5727,2227,6349,3242,3020,1797,"CD4+CD8-"
"238",2827,4996,6546,934,5403,2871,4662,5984,1367,935,"CD8+CD4-"
"243",2807,3554,6839,2908,5724,3463,5549,6378,2210,1250,"CD8+CD4-"
"244",2421,2909,6686,5052,5031,2259,5806,2172,1285,724,"CD4+CD8-"
"245",1323,3191,6787,5710,5654,3315,6250,1160,1898,1494,"CD4+CD8-"
"246",2440,4746,4244,4016,4876,4571,1566,4867,1412,1748,"Monocytes"
"247",2289,3757,6879,5469,5248,2035,5852,2086,1142,869,"CD4+CD8-"
"250",2291,3711,6714,1295,5204,2943,5940,5910,1324,901,"CD8+CD4-"
"252",1985,1576,6255,3569,5380,1431,5264,5009,1656,1283,"CD8+CD4-"
"256",4228,4350,4169,5138,5681,3495,4055,4825,4363,7065,"Eosinophils"
"258",1498,3022,7001,5409,5296,2008,6319,2606,1322,975,"CD4+CD8-"
"259",2447,2653,7026,5365,5077,2063,5695,2854,1378,747,"CD4+CD8-"
"261",3266,4519,5097,4524,4673,4601,4162,4695,2097,3073,"Monocytes"
"270",1984,4949,2662,2532,5361,1985,2259,4319,1867,1114,"CD56dim"
"274",3312,4698,3447,5028,5490,3725,2322,4744,3106,2673,"Monocytes"
"277",2887,5275,6763,741,5672,4821,5049,6438,1972,1337,"CD8+CD4-"
"279",1980,2462,6940,2653,5776,1883,6352,6267,1942,1520,"CD8+CD4-"
"280",2415,2158,6084,2433,4644,1473,4388,5538,1719,852,"CD8+CD4-"
"285",2672,4024,7150,5512,5075,1882,5632,858,1236,872,"CD4+CD8-"
"286",2612,3415,6775,1808,5361,2335,5150,5753,2117,1167,"CD8+CD4-"
"289",2806,4248,6965,5323,5237,2206,5874,3214,986,938,"CD4+CD8-"
"293",1139,3326,6643,2786,5310,2580,5881,6166,1245,1049,"CD8+CD4-"
"298",2737,4239,3683,4348,4814,3292,2714,3856,2117,2193,"Monocytes"
"299",1620,2524,6897,2278,5362,2170,6134,5905,977,1035,"CD8+CD4-"
"300",3106,3187,6907,5156,4854,1948,5467,2454,835,776,"CD4+CD8-"
"302",1719,2025,6942,5358,5456,1454,5729,2784,1771,975,"CD4+CD8-"
"304",2396,2973,7221,5612,5396,2004,5812,2799,1031,779,"CD4+CD8-"
"308",2920,3886,7241,5607,5312,1874,5656,2135,1432,1057,"CD4+CD8-"
"311",2826,3569,7200,5394,5150,2694,5726,2621,1513,1291,"CD4+CD8-"
"314",6052,4505,1877,6619,5442,5358,1316,3049,1779,1416,"Mature SIg Kappa"
"318",2407,1875,7268,5670,5410,1782,5835,2412,1653,1186,"CD4+CD8-"
"324",2607,4515,3683,4943,5796,3495,4218,4465,7120,7822,"Eosinophils"
"325",2534,4500,4376,4429,4851,3357,2366,4674,1362,2036,"Monocytes"
"327",6324,3062,5034,6868,5550,2618,2593,5654,1964,1621,"Mature SIg Lambda"
"330",2419,2847,7088,5644,5324,1492,6104,2962,1325,1088,"CD4+CD8-"
"339",2187,2176,6911,1667,5791,522,5762,6450,2644,1365,"CD8+CD4-"
"341",2929,5313,3605,4284,5641,3831,2844,5010,2599,3209,"Monocytes"
"342",2786,2030,5873,2293,4433,2558,5565,5278,1360,776,"CD8+CD4-"
"344",2646,4571,4310,4046,4919,3898,2231,4675,1404,1618,"Monocytes"
"346",2016,3569,6945,2677,5444,2095,5671,6335,2290,1429,"CD8+CD4-"
"348",2634,3855,6817,2165,5199,2923,5351,6030,2043,1049,"CD8+CD4-"
"351",3308,1247,6916,2597,5637,3393,5413,6389,2667,1373,"CD8+CD4-"
"356",2157,4870,1429,2442,5492,4573,2470,4079,1943,1250,"CD56dim"
"358",2545,4441,7140,5465,5376,2742,5769,3622,1494,1130,"CD4+CD8-"
"363",1080,3374,7178,5466,5263,1819,6481,2551,1280,794,"CD4+CD8-"
"369",3027,4584,6957,5295,5081,2463,5982,1976,1287,907,"CD4+CD8-"
"370",2807,4163,6758,4256,5860,4029,6048,5061,2033,1699,"CD8+CD4-"
"371",2085,1984,6740,2296,5474,3183,6375,6035,2066,1133,"CD8+CD4-"
"372",3134,4366,7342,5592,5283,1986,6138,2429,1458,1119,"CD4+CD8-"
"373",3047,3592,7135,5559,5382,1184,5702,2917,1499,1139,"CD4+CD8-"
"374",1814,4199,7024,5359,5134,2085,5924,1999,1687,837,"CD4+CD8-"
"384",2454,1999,6903,5485,5449,3082,5600,3794,1000,1668,"CD4+CD8-"
"386",2571,4693,6549,1003,5313,1668,6048,6023,985,756,"CD8+CD4-"
"387",2995,2634,7040,5588,5288,2074,6004,2676,1376,1230,"CD4+CD8-"
"389",2068,5620,3324,2323,5374,2003,2479,3530,1461,1114,"CD56dim"
"391",3662,2441,6964,5430,5283,2288,6239,1248,1526,738,"CD4+CD8-"
"396",3077,3178,7253,5381,5100,1845,5978,2315,993,947,"CD4+CD8-"
"397",2281,3395,2227,1533,5481,4313,2483,4548,1970,1175,"CD56dim"
