"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"12",2384,2967,6780,5912,5591,2122,6742,2725,2143,1070,"CD4+CD8-"
"14",2582,4544,7035,5706,5248,1919,5928,2274,1201,472,"CD4+CD8-"
"17",2020,2512,6950,6068,5661,2746,5897,2623,2005,950,"CD4+CD8-"
"22",3677,4282,3851,3933,5674,5184,2353,5116,2739,3472,"Monocytes"
"44",2898,2682,3784,4962,5537,3884,4128,4353,4002,7853,"Eosinophils"
"49",2764,4039,7016,3336,5518,3664,5612,3570,1970,2049,"TCRgd-"
"64",2442,2115,6678,5876,5449,2539,5852,3007,1759,809,"CD4+CD8-"
"69",2787,4187,6901,5738,5414,2493,5838,2946,1633,697,"CD4+CD8-"
"92",1828,3777,7019,1714,5552,1472,6110,6272,1815,944,"CD8+CD4-"
"94",1596,1860,6906,5798,5588,1804,6606,2752,2389,1014,"CD4+CD8-"
"112",1792,5424,6935,5648,5231,1706,5649,2290,1484,697,"CD4+CD8-"
"114",2932,3363,6969,1097,5456,1497,6071,6177,1885,851,"CD8+CD4-"
"121",1856,2126,6798,5844,5579,1678,6027,2751,2040,817,"CD4+CD8-"
"131",1708,3072,6619,5723,5371,2184,5591,2009,1357,653,"CD4+CD8-"
"137",5820,3025,2412,6253,5295,5231,990,3518,2030,967,"Mature SIg Kappa"
"139",2479,2103,6660,1583,5710,3998,5913,6422,2362,1252,"CD8+CD4-"
"140",2593,3709,6881,5817,5334,1886,5765,2607,1486,882,"CD4+CD8-"
"142",1660,1202,6680,5757,5344,1875,5334,2392,1993,624,"CD4+CD8-"
"143",2957,1157,7043,5705,5370,2185,6367,1168,1449,877,"CD4+CD8-"
"147",2483,4401,2795,4458,5119,4970,3140,4969,3469,3351,"Monocytes"
"149",942,3306,6608,5721,5487,748,6334,2209,1971,763,"CD4+CD8-"
"150",4117,3350,4069,5174,4625,5190,3495,4388,1928,1444,"Mature SIg Kappa"
"159",3641,3791,4102,4936,5618,3737,3707,4294,4180,7507,"Eosinophils"
"172",5040,2649,3277,5656,4977,6004,3435,4286,1218,939,"Mature SIg Kappa"
"174",5799,3085,2993,6033,5006,6109,1822,3340,1768,857,"Mature SIg Kappa"
