"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"1",6482,4799,1820,6838,5545,6494,3246,3700,1830,1100,"Mature SIg Kappa"
"2",1569,4650,1843,3615,4735,4195,2513,4771,2301,3146,"Monocytes"
"3",1932,4559,2222,3648,5025,4616,2288,5104,2824,2710,"Monocytes"
"6",3365,5134,6449,2398,5587,4108,6024,6239,1939,1368,"CD8+CD4-"
"10",2380,2664,6485,1619,5612,1106,4917,6014,1730,990,"CD8+CD4-"
"11",1875,4678,2900,3821,5126,4279,1732,4492,3154,2570,"Monocytes"
"13",1848,5724,6739,5752,5174,1571,5394,1639,1376,937,"CD4+CD8-"
"15",2381,2130,7166,5787,5545,476,5842,2247,1360,900,"CD4+CD8-"
"16",2332,4187,7272,5855,5370,1966,5997,2032,1536,875,"CD4+CD8-"
"18",2104,3876,7184,5665,5210,2217,6292,2113,1422,835,"CD4+CD8-"
"19",2486,4219,2554,4081,4981,4187,2330,4738,3139,2684,"Monocytes"
"20",2189,4417,2797,2078,5518,4709,1912,2597,2034,1247,"CD56dim"
"21",2057,5156,2140,4176,5006,4458,2225,4911,2779,2853,"Monocytes"
"22",1619,6341,681,1010,5471,5486,2373,3092,1702,1347,"CD56dim"
"28",1808,4277,7049,1550,5512,1976,5939,5692,1623,784,"CD8+CD4-"
"29",2174,4304,2616,3893,4962,4428,2092,4933,2927,2794,"Monocytes"
"35",1764,1821,6810,2542,5754,4539,2277,5766,1586,1051,"CD8+CD4-"
"36",1697,4446,7029,5943,5429,983,6167,2314,1425,920,"CD4+CD8-"
"38",1651,3655,2813,4186,5200,3327,3803,3958,4222,6459,"Eosinophils"
"42",1119,2235,6960,2068,5679,3488,5701,6086,1391,1009,"CD8+CD4-"
"44",2260,4435,6810,566,5610,2057,5432,6118,1568,869,"CD8+CD4-"
"47",2318,3147,6960,5956,5540,1374,5990,2509,1929,1368,"CD4+CD8-"
"48",2796,4452,6891,1016,5378,2759,5772,6125,1464,838,"CD8+CD4-"
"50",1962,4121,2684,3739,4979,4261,2212,4737,2793,2749,"Monocytes"
"53",2338,3195,6891,1584,5524,1753,5956,6302,1579,959,"CD8+CD4-"
"54",2330,5476,1055,2104,5265,5089,2010,5027,1741,1237,"CD56dim"
"55",1722,6018,928,1571,5550,5289,1952,3681,2057,1505,"CD56dim"
"56",2257,2935,3853,4234,5254,3299,3233,3982,3581,6236,"Eosinophils"
"57",2477,3911,3060,4241,5230,4280,1848,4751,2408,4099,"Monocytes"
"58",2220,4156,7168,5619,5284,2841,5847,3487,1624,1608,"CD4+CD8-"
"59",1999,4650,7169,5733,5269,1790,5902,2587,1408,826,"CD4+CD8-"
"60",5820,3505,1834,6604,5130,4830,2467,2446,1404,937,"Mature SIg Kappa"
"61",1831,3994,3312,4226,5246,3328,3236,3866,4018,6282,"Eosinophils"
"65",2062,3171,6756,3562,5723,2111,6051,6157,1774,1177,"CD8+CD4-"
"66",2111,4829,7343,5802,5450,1499,5914,2328,1305,858,"CD4+CD8-"
"68",1800,3791,6749,5595,5419,2203,6372,1276,1441,784,"CD4+CD8-"
"72",2480,3376,6882,2289,5468,1685,5804,5845,1415,869,"CD8+CD4-"
"77",3045,3577,3424,4678,5359,3590,3971,4272,4059,7047,"Eosinophils"
"83",2342,1231,6854,4626,5368,1957,5247,5947,1429,804,"CD8+CD4-"
"94",2611,2593,6922,3866,5882,2241,5380,6368,1518,1261,"CD8+CD4-"
"96",2484,4604,2270,2293,5498,5233,2039,2983,1706,1087,"CD56dim"
"102",2321,4229,1629,4222,5021,3586,2272,4585,3183,2298,"Monocytes"
"106",3067,3341,7264,5816,5635,1377,5834,2129,1356,863,"CD4+CD8-"
"112",2074,4214,7226,5775,5365,692,6238,2140,1204,1117,"CD4+CD8-"
"116",1676,2300,6858,1700,5297,1350,4975,5946,1271,715,"CD8+CD4-"
"119",5948,4590,2171,6768,5288,5495,3123,2297,1351,984,"Mature SIg Kappa"
"121",2046,2952,6963,2174,5550,3083,1860,5320,1549,1133,"CD8+CD4-"
"122",1925,5140,7028,5597,4935,1477,5800,2088,1020,891,"CD4+CD8-"
"123",1809,5517,2221,1882,5382,5031,2525,3469,1841,1237,"CD56dim"
"124",3174,1964,6905,1392,5618,2667,6205,6032,1583,962,"CD8+CD4-"
"126",1857,4934,2170,4298,5051,4511,2353,4943,2884,2675,"Monocytes"
"127",1559,3922,7147,5849,5438,1643,6076,2184,1478,838,"CD4+CD8-"
"129",2531,4454,7361,5954,5234,1799,5924,2386,1336,689,"CD4+CD8-"
"139",2504,3415,3503,4499,5199,3352,3821,4292,4240,6797,"Eosinophils"
"140",2237,3450,1360,4010,5634,3932,2728,4571,3242,2523,"Monocytes"
"141",2394,4687,2355,4245,4787,4310,2637,4724,2790,2480,"Monocytes"
"143",2391,1332,7089,5719,5348,1595,6861,2676,1662,925,"CD4+CD8-"
"145",2300,4726,2070,4067,5098,4230,1609,5000,2906,2710,"Monocytes"
"147",3467,1464,7205,5892,5509,1211,6257,2209,1683,1089,"CD4+CD8-"
"148",2884,3594,7040,5949,5462,1333,6164,2019,1467,937,"CD4+CD8-"
"152",2370,4948,7194,5658,5162,1504,5251,1894,1192,593,"CD4+CD8-"
"154",2330,5092,7102,5899,5789,1874,6340,2570,1536,1122,"CD4+CD8-"
"156",6222,4372,2733,6675,5628,3950,2143,6529,1441,1054,"Mature SIg Lambda"
"158",1995,3876,6857,3621,5461,2425,5920,6350,1155,953,"CD8+CD4-"
"162",3346,3565,6804,5814,5505,1378,6455,2039,1225,809,"CD4+CD8-"
"163",3077,1750,6926,5993,5649,1242,5855,1705,1997,1201,"CD4+CD8-"
"164",1205,4154,7079,5737,5382,2130,6185,2593,1058,945,"CD4+CD8-"
"169",1543,5090,1555,3785,4962,3752,2158,4458,2278,3442,"Monocytes"
"172",1924,2843,7343,5879,5481,1372,5612,897,1413,858,"CD4+CD8-"
"173",2586,3939,3228,4651,5391,3578,3789,4433,4173,6939,"Eosinophils"
"175",1039,5648,6826,1660,6130,1965,6157,6588,1765,1229,"CD8+CD4-"
"181",1496,2624,7311,5875,5386,1932,6023,2159,1577,729,"CD4+CD8-"
"185",6175,3426,1504,6657,5437,6491,3299,3057,1784,1191,"Mature SIg Kappa"
"188",1850,4888,7348,5816,5341,1302,6148,1137,1367,835,"CD4+CD8-"
"189",1676,4331,2752,3965,4846,4162,1980,4425,3092,2725,"Monocytes"
"191",1602,4431,7433,6323,6025,815,6456,2699,2750,1723,"CD4+CD8-"
"199",2679,4922,1647,1885,5660,5676,759,1458,1433,942,"CD56bright"
"200",921,6168,6896,5824,5399,2133,6278,2344,1460,1054,"CD4+CD8-"
"201",2244,5030,1985,3629,5079,3924,2200,4531,2962,2483,"Monocytes"
"202",1784,2480,7046,928,5765,3240,5088,6209,1625,1117,"CD8+CD4-"
"209",2418,3644,3196,4449,5357,3601,3282,3897,3825,6410,"Eosinophils"
"214",2263,3117,6760,2544,5657,2899,6048,6258,2184,967,"CD8+CD4-"
"216",2254,4599,2570,4065,5108,4652,2500,5083,2814,3654,"Monocytes"
"220",1852,4987,1392,3532,4943,4391,2860,4899,2812,2634,"Monocytes"
"221",1685,4885,2112,3613,4889,4180,2649,4856,2694,2935,"Monocytes"
"226",1903,4502,2737,2495,5570,4391,1897,3189,1846,1147,"CD56dim"
"240",6167,2740,1885,6392,5401,5295,2173,1456,1774,984,"Mature SIg Kappa"
"243",1909,4779,1423,3969,5135,3963,1883,4384,2053,3518,"Monocytes"
"244",2888,2176,7095,5998,5547,297,6425,2741,2016,1152,"CD4+CD8-"
"247",2050,5087,656,4101,5249,4288,2891,4906,2815,3338,"Monocytes"
"251",2493,3085,7391,5868,5443,1115,6040,626,1539,818,"CD4+CD8-"
