"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"4",6106,4170,1017,6394,5509,5893,2211,3686,1788,984,"Mature SIg Kappa"
"5",2199,1403,6961,5800,5443,1358,6047,2976,2190,1378,"CD4+CD8-"
"8",1977,5284,7211,5771,5378,1660,5942,1999,1766,903,"CD4+CD8-"
"9",2013,4953,7063,5851,5514,1697,6210,2141,1756,886,"CD4+CD8-"
"17",2388,3429,1191,5561,5520,2352,1961,3720,3884,2976,"Monocytes"
"18",2488,4236,7183,5833,5554,1199,5927,1994,1697,855,"CD4+CD8-"
"19",2727,1718,6983,1842,5490,1540,6065,6185,1997,1169,"CD8+CD4-"
"20",1997,2753,7063,5930,5539,1101,5634,2559,2374,1086,"CD4+CD8-"
"22",483,1681,6953,5965,5654,1473,6686,1472,2033,1215,"CD4+CD8-"
"25",1963,3799,7217,5922,5502,1754,5897,1662,1899,826,"CD4+CD8-"
"27",3830,3773,6820,5816,5588,876,6925,1713,1572,1098,"CD4+CD8-"
"31",1590,3338,6829,5910,5089,2061,5935,2658,2266,1163,"CD4+CD8-"
"33",2411,3365,6926,5894,5644,1783,6391,1921,1723,1070,"CD4+CD8-"
"34",2399,5407,7344,5889,5348,1899,5697,951,1825,801,"CD4+CD8-"
"37",1812,800,7026,5652,5361,1464,6079,2433,1489,911,"CD4+CD8-"
"41",2783,2144,3276,4777,5626,3987,3545,5002,3784,6945,"Eosinophils"
"42",2439,3036,7030,1466,5584,1519,6456,6246,2005,1133,"CD8+CD4-"
"45",1143,3455,7003,5698,5239,1329,5610,2118,1497,668,"CD4+CD8-"
"46",2558,3762,7345,5878,5341,1203,5859,1411,1570,717,"CD4+CD8-"
"47",1375,2879,7075,5700,5375,1556,6535,1910,1956,786,"CD4+CD8-"
"50",1794,1236,6908,5877,5599,1763,5860,958,2327,1152,"CD4+CD8-"
"52",1628,5710,1432,1136,5528,5022,1897,4724,2010,1481,"CD56dim"
"53",1730,2690,6531,290,5520,2521,5392,6240,2486,992,"CD8+CD4-"
"55",2797,3766,7025,5836,5340,1446,5447,1993,2174,1070,"CD4+CD8-"
"57",2387,5359,1446,1293,5486,5016,2047,4681,1653,1067,"CD56dim"
"59",1227,1898,7520,5958,5481,1223,6028,2434,1669,962,"CD4+CD8-"
"61",2207,1679,7241,5905,5495,2002,5940,2525,2250,917,"CD4+CD8-"
"70",3216,1512,6823,936,5308,1418,5757,5938,1953,920,"CD8+CD4-"
"72",2156,4338,2089,5025,5660,5010,3168,5757,3474,5161,"Monocytes"
"73",2259,4929,2559,4382,5133,4768,1936,5589,2907,3845,"Monocytes"
"75",2312,4028,2947,4965,5993,4799,3113,5968,3988,4194,"Monocytes"
"78",1604,2725,6802,2279,6039,2017,6257,6365,2341,1575,"CD8+CD4-"
"80",1356,2291,6839,5196,5495,1605,5860,5665,2496,1370,"CD8+CD4-"
"81",2202,3476,7051,5725,5412,1928,6423,1698,2125,970,"CD4+CD8-"
"84",2642,2525,7213,5775,5544,2158,6473,1902,2375,1034,"CD4+CD8-"
"85",6485,4249,2699,6460,5535,5792,3536,4057,1836,1237,"Mature SIg Kappa"
"86",849,3075,7346,5865,5309,1514,5820,2364,1793,889,"CD4+CD8-"
"89",2148,2986,3126,3970,5132,2719,3243,3824,3936,6697,"Eosinophils"
"90",1495,5364,7201,5855,5326,1244,5598,1990,1811,1086,"CD4+CD8-"
"92",1726,1711,6530,5467,5544,1987,5869,5583,1966,1053,"CD8+CD4-"
"94",1909,4164,6752,2193,5753,2602,4474,6139,1842,1215,"CD8+CD4-"
"98",2363,4582,2157,1638,5402,4796,1901,4008,2090,1245,"CD56dim"
"99",2314,4358,1695,4880,5538,4326,2058,5480,3237,3916,"Monocytes"
