"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"17",1791,3905,7380,5846,5369,581,5714,2370,1582,803,"CD4+CD8-"
"22",1583,2507,7112,5949,5724,2228,6531,2923,1741,908,"CD4+CD8-"
"28",2761,4310,2023,4800,5876,5635,2149,5804,4027,3959,"Monocytes"
"33",3526,3866,2369,4977,6041,5545,2251,5697,3186,3669,"Monocytes"
"34",2404,391,6997,1880,5688,3684,5531,5829,1754,1349,"CD8+CD4-"
"43",2078,2943,6768,1528,5709,4717,4754,5793,2335,1515,"CD8+CD4-"
"45",2802,4815,1527,4825,5445,5476,1219,5378,4841,2123,"Monocytes"
"46",2777,2104,7080,5574,5415,1420,5571,2560,1101,601,"CD4+CD8-"
"52",2063,5443,2089,2346,5548,3882,2072,4852,1881,1373,"CD56dim"
"59",3931,6517,7339,5889,5651,1297,6698,2279,1324,1250,"CD4+CD8-"
"62",2511,4889,2283,4668,5482,5521,1632,5389,3175,3551,"Monocytes"
"66",3085,4688,3260,4558,5705,5335,1673,5290,2490,3897,"Monocytes"
"67",1338,2403,6954,2561,5803,2885,6276,6353,2068,1389,"CD8+CD4-"
"69",376,3786,7284,2865,6015,3973,6343,6472,2371,1447,"CD8+CD4-"
"70",2098,4765,3200,4507,5798,5488,2537,5577,5217,2286,"Monocytes"
"79",2233,725,7177,5863,5415,2433,6358,2589,1856,1174,"CD4+CD8-"
"88",2600,3912,2876,5029,5718,5133,1864,5064,4634,2392,"Monocytes"
"90",959,3080,7267,2028,5829,740,6325,6537,2194,1346,"CD8+CD4-"
"102",2575,4886,1797,2669,5529,5059,1632,3905,2127,1081,"CD56dim"
"107",2212,4292,7048,5699,5202,1657,5988,2850,1597,769,"CD4+CD8-"
"115",1901,4968,2163,1997,5529,5209,1497,2797,1933,1452,"CD56dim"
"118",1846,3066,6812,1608,5570,3791,5503,6277,2129,1163,"CD8+CD4-"
"122",2475,1725,6958,5995,5511,981,5888,2976,1814,961,"CD4+CD8-"
"125",3259,4746,7413,5910,5389,1972,6514,2320,1564,933,"CD4+CD8-"
"126",2339,557,7147,5569,5355,2442,5553,1656,1875,1122,"CD4+CD8-"
"145",5809,3032,2495,6129,5119,5319,2874,2770,1637,820,"Mature SIg Kappa"
"148",2062,5244,2465,4892,5780,5543,1539,5582,3602,3347,"Monocytes"
"150",6087,3546,2755,6047,5197,3594,2267,5821,1583,729,"Mature SIg Lambda"
"153",1610,2881,6827,2385,5697,1966,5858,6097,1904,1277,"CD8+CD4-"
"156",2155,3697,7077,2119,5546,3216,6183,6250,1367,809,"CD8+CD4-"
"158",2513,4933,1654,5272,5758,5552,1910,5600,3309,3631,"Monocytes"
"161",4356,3700,3916,4804,5368,3686,3572,4353,4806,7899,"Eosinophils"
"168",1699,4549,1516,4805,5771,5565,2735,5496,4739,2213,"Monocytes"
"171",3094,3147,6945,1760,5654,4375,4302,3439,2319,1523,"TCRgd-"
"175",2855,4141,2524,4955,5661,5560,910,5486,3224,3096,"Monocytes"
"178",2267,2219,6421,1873,5862,3313,5283,6203,1783,1444,"CD8+CD4-"
"181",2244,2705,6902,2470,5751,1928,6024,6050,2177,826,"CD8+CD4-"
"184",2304,4380,2439,4773,5652,5576,3339,5491,5064,2731,"Monocytes"
"186",2277,4267,2711,4322,5627,5588,801,5337,3791,3264,"Monocytes"
"188",2518,1142,6693,5274,5189,2066,6014,2739,2073,657,"CD4+CD8-"
"200",1524,1550,7115,4973,5731,2715,5250,6559,2070,1465,"CD8+CD4-"
