"","CD19/TCRgd:PE Cy7-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD3:APC-A LOGICAL","CD38:APC H7-A LOGICAL","CD45:PO-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"12",2471,2966,6781,5909,5591,2073,6743,2487,2143,1213,"CD4+CD8-"
"14",2603,4536,7036,5702,5248,1946,5926,2124,1201,625,"CD4+CD8-"
"17",2234,2524,6951,6065,5661,2542,5895,2396,2005,1093,"CD4+CD8-"
"22",3470,4272,3885,3904,5674,5150,2379,5086,2739,3582,"Monocytes"
"44",2823,2689,3820,4952,5537,3740,4109,4277,4002,7904,"Eosinophils"
"49",2727,4028,7017,3288,5518,3492,5608,3398,1970,2175,"TCRgd-"
"64",2509,2142,6679,5873,5449,2369,5850,2768,1759,957,"CD4+CD8-"
"69",2744,4177,6902,5734,5414,2334,5835,2704,1633,848,"CD4+CD8-"
"92",2110,3766,7020,1786,5552,1689,6109,6265,1815,1090,"CD8+CD4-"
"94",1959,1895,6906,5794,5588,1878,6606,2513,2389,1160,"CD4+CD8-"
"112",2086,5420,6935,5643,5231,1821,5646,2135,1484,845,"CD4+CD8-"
"114",2848,3355,6970,1304,5456,1703,6069,6169,1885,1000,"CD8+CD4-"
"121",2128,2152,6799,5841,5579,1805,6025,2512,2040,965,"CD4+CD8-"
"131",2032,3069,6620,5719,5371,2113,5587,1957,1357,804,"CD4+CD8-"
"137",5780,3022,2427,6251,5295,5198,1101,3338,2030,1112,"Mature SIg Kappa"
"139",2533,2130,6661,1682,5710,3868,5911,6417,2362,1393,"CD8+CD4-"
"140",2610,3698,6882,5814,5334,1926,5762,2382,1486,1028,"CD4+CD8-"
"142",2000,1257,6681,5753,5344,1920,5328,2209,1993,775,"CD4+CD8-"
"143",2866,1213,7044,5701,5370,2114,6367,1554,1449,1025,"CD4+CD8-"
"147",2536,4391,2840,4441,5119,4926,3126,4932,3469,3462,"Monocytes"
"149",1497,3298,6610,5718,5487,1281,6334,2080,1971,911,"CD4+CD8-"
"150",3919,3342,4097,5167,4625,5156,3474,4314,1928,1580,"Mature SIg Kappa"
"159",3436,3780,4128,4926,5618,3574,3685,4212,4180,7592,"Eosinophils"
"172",4942,2657,3325,5652,4977,5992,3415,4204,1218,1084,"Mature SIg Kappa"
"174",5757,3081,3042,6031,5006,6098,1884,3136,1768,1005,"Mature SIg Kappa"
"176",2030,3513,6524,1849,5503,2143,5955,6314,1797,1132,"CD8+CD4-"
"177",2341,3225,6971,5782,5334,1798,6090,2549,1893,1284,"CD4+CD8-"
"191",2309,3606,3237,4001,5342,3411,3587,3938,4264,7299,"Eosinophils"
"193",4952,2573,2926,5803,5008,5878,3457,5124,1342,1053,"Mature SIg Kappa"
"208",2473,2827,6799,5471,5383,1785,5815,1813,1268,816,"CD4+CD8-"
"217",3168,4867,6702,1612,5572,2383,6088,6327,2078,1251,"CD8+CD4-"
"224",5944,2373,3453,6380,5413,4594,3251,5948,1839,1163,"Mature SIg Lambda"
"227",2435,4038,7233,6028,5834,1900,6508,2726,2316,1501,"CD4+CD8-"
"237",5803,2747,3302,6188,5209,5600,1505,4567,1212,728,"Mature SIg Kappa"
"253",1738,3867,6538,1253,5764,4759,6398,6454,2302,1612,"CD8+CD4-"
"268",2931,2775,6790,1812,5394,2141,5974,6101,1731,1110,"CD8+CD4-"
"270",5810,2864,1921,6402,5251,6804,1550,3281,2154,1177,"Mature SIg Kappa"
"286",3036,2286,6224,5691,5457,2447,6275,2666,1772,1257,"CD4+CD8-"
"291",5757,2991,2602,5934,4879,5391,2803,4326,1877,985,"Mature SIg Kappa"
"295",2244,2084,6623,1889,5548,2833,6195,6344,1719,1281,"CD8+CD4-"
"298",2447,4645,7284,5827,5523,2173,6229,1408,2205,1243,"CD4+CD8-"
"307",2186,5619,6733,5776,5522,1823,6485,2630,1686,1048,"CD4+CD8-"
"309",1912,4081,6846,1536,5564,1754,6054,6167,1528,1073,"CD8+CD4-"
"310",1710,4353,6977,2424,5650,2429,6208,6171,1597,1051,"CD8+CD4-"
"311",2313,2398,6594,5719,5604,2094,5998,2935,1730,1262,"CD4+CD8-"
"325",1523,2714,6530,5836,5560,1754,6180,2942,2475,1268,"CD4+CD8-"
"327",6248,1911,2983,6705,4964,6406,2919,4294,3943,1036,"Mature SIg Kappa"
"334",1987,51,7154,5807,5579,2723,6191,2876,2242,1017,"CD4+CD8-"
"336",2891,3976,3381,3940,5292,4600,2494,4755,3757,3521,"Monocytes"
"337",2563,4537,6873,5811,5393,1808,6031,2197,1734,940,"CD4+CD8-"
"342",2258,2216,6474,5947,5635,1551,6525,2872,2033,1118,"CD4+CD8-"
"378",2457,4144,7289,5701,5230,2075,5564,2322,1356,1417,"CD4+CD8-"
"383",2506,2211,7166,5645,5328,2131,5928,1866,2079,882,"CD4+CD8-"
"405",5580,3410,2965,5913,5115,5700,2392,4088,1208,649,"Mature SIg Kappa"
"407",2591,2555,3314,4378,5294,2901,3376,3660,4650,7083,"Eosinophils"
"408",2572,4418,3235,4497,5463,5172,2415,5180,3092,1900,"Monocytes"
"412",2397,3582,6217,5805,5297,2057,5838,1736,1511,879,"CD4+CD8-"
"429",4605,2938,3462,5540,4651,4454,2597,5100,1458,1312,"Mature SIg Lambda"
"433",2352,4070,6566,1616,5554,1758,5943,6109,1633,928,"CD8+CD4-"
"439",2272,4334,7105,5833,5312,2158,5709,1748,1636,994,"CD4+CD8-"
"442",2788,1709,6721,5497,5328,2315,4893,2658,1827,1048,"CD4+CD8-"
"453",5558,4033,3037,5972,5364,5263,3129,4527,1409,705,"Mature SIg Kappa"
"460",2962,2689,6828,1823,5593,1243,5819,6050,2379,1179,"CD8+CD4-"
"471",3691,3175,3514,5136,5493,3645,3946,4318,4352,8191,"Eosinophils"
"476",2785,3737,7019,5647,5360,1319,5990,2228,2013,885,"CD4+CD8-"
