"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"3",2317,4800,7066,5397,5083,1428,6069,2124,1748,764,"CD4+CD8-"
"4",6108,2407,2418,5961,5210,5819,2673,3037,1786,475,"Mature SIg Kappa"
"5",1211,1303,7276,5876,5420,1294,5983,1447,2089,1043,"CD4+CD8-"
"7",1329,3953,7285,5841,5258,1427,5853,2101,1838,663,"CD4+CD8-"
"8",6185,4059,1603,6566,5244,2234,1762,5995,1933,942,"Mature SIg Lambda"
"11",2292,4373,2072,3784,4666,2185,2820,4570,2922,3572,"Monocytes"
"12",3122,3382,7261,5852,5510,1125,6354,2614,1808,1112,"CD4+CD8-"
"15",2403,3227,7188,1455,5200,1784,5663,6282,1440,729,"CD8+CD4-"
"18",2625,2136,7088,2168,5235,2766,5697,6150,1749,1117,"CD8+CD4-"
"27",2062,4539,1197,4271,4987,4669,2429,5300,3702,3655,"Monocytes"
"29",2668,3252,1898,1943,5509,4894,1227,4124,2008,1445,"CD56dim"
"30",2408,3051,3506,1882,5428,5106,1742,4210,2251,1147,"CD56dim"
"31",1461,1108,6617,5938,5688,1738,6246,1576,1965,1250,"CD4+CD8-"
"32",2726,4993,6644,5728,5550,2067,6758,1753,1989,1051,"CD4+CD8-"
"37",2347,4535,7485,5525,5317,1093,6141,1119,1570,804,"CD4+CD8-"
"41",2048,2730,2020,2000,5916,5790,2133,5476,2350,1494,"CD56dim"
"43",1398,1740,6653,5794,5406,1992,6593,2133,2199,1020,"CD4+CD8-"
"44",3510,2700,7249,5760,5645,2028,6554,2881,1724,1237,"CD4+CD8-"
"47",1947,2544,7520,5803,5327,1108,5809,1831,1754,755,"CD4+CD8-"
"48",2003,4554,7261,5795,5450,1447,5976,2602,1631,858,"CD4+CD8-"
"50",3174,3662,7080,3258,5605,2008,5866,6407,1974,1078,"CD8+CD4-"
"51",6590,1786,1209,6611,5364,1859,2199,6095,2235,1285,"Mature SIg Lambda"
"52",2746,6480,332,1921,5679,5659,1981,5982,2246,1458,"CD56dim"
"55",1093,2794,6792,5966,5660,1490,6492,2338,2538,1426,"CD4+CD8-"
"56",2725,1140,6935,3393,5661,4489,5209,5925,1872,2147,"CD8+CD4-"
"57",1527,3547,7516,5970,5721,2101,6403,2663,2604,1494,"CD4+CD8-"
"58",2525,4497,1167,3759,4781,3311,2038,4585,3040,3642,"Monocytes"
"59",1944,766,7137,5537,5362,669,5603,2184,1844,1009,"CD4+CD8-"
