"","CD19/TCRgd:PE Cy7-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD3:APC-A LOGICAL","CD38:APC H7-A LOGICAL","CD45:PO-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"5",2271,1294,6988,2029,5597,1999,5915,6323,1908,1269,"CD8+CD4-"
"6",1353,3756,6466,5072,5163,1134,5782,5827,2176,958,"CD8+CD4-"
"8",1615,4098,7083,5495,5262,1881,6269,1826,1970,785,"CD4+CD8-"
"10",3275,1560,6646,5480,5213,1560,6385,2729,1332,1225,"CD4+CD8-"
"11",5601,2419,962,6153,5180,4548,1904,3046,1737,975,"Mature SIg Kappa"
"18",3307,1312,7239,5842,5713,1707,5950,2452,1958,1531,"CD4+CD8-"
"19",2774,4240,2454,4748,5332,3840,2650,4249,2838,2976,"Monocytes"
"20",1645,3848,6632,5617,5417,1250,6788,2342,1850,1288,"CD4+CD8-"
"26",2347,5190,2584,3621,5459,5417,3199,4342,2123,1589,"CD56dim"
"31",2100,3851,3271,4636,5133,2252,2595,4104,3362,2305,"Monocytes"
"34",2007,5095,1583,2102,5712,5116,1641,6263,2107,2026,"CD56dim"
"37",2573,4694,3437,4410,5349,3782,1919,4330,2702,2737,"Monocytes"
"38",2164,3638,6880,5492,5614,1156,6224,2413,2452,1402,"CD4+CD8-"
"47",2029,4399,7173,5695,5432,1546,6059,339,1319,949,"CD4+CD8-"
"48",2962,3060,7103,5503,5382,2289,6173,3050,1320,880,"CD4+CD8-"
"49",1092,3060,6739,5004,5229,2480,5998,44,1643,854,"CD4+CD8-"
"50",1580,1224,6767,2663,5783,4237,6181,6438,2562,1673,"CD8+CD4-"
"54",1920,6728,256,560,5785,5474,3426,5992,2330,2110,"CD56dim"
"61",2660,3170,7103,5750,5011,1787,5533,2612,1782,1116,"CD4+CD8-"
"64",3181,4227,6854,5406,5337,2076,6499,119,1698,1108,"CD4+CD8-"
"65",2272,4715,2962,4412,5131,3871,2395,4743,2643,2768,"Monocytes"
"76",1745,3853,7426,5617,5273,1342,6083,2604,1659,918,"CD4+CD8-"
"77",2726,3759,7251,5566,5383,1822,6192,2879,1570,1147,"CD4+CD8-"
"79",1826,3077,7091,5731,5425,2039,6160,2114,1703,978,"CD4+CD8-"
"81",2484,3480,3604,4678,5457,3339,4136,4767,4756,6840,"Eosinophils"
"88",1288,858,7095,5686,5464,2413,6166,2131,1773,880,"CD4+CD8-"
"91",3236,1296,6893,5679,5437,1704,6353,1610,2057,1480,"CD4+CD8-"
"97",1722,4553,6883,5583,5479,1590,6425,2627,1460,906,"CD4+CD8-"
"100",5735,2954,2335,6348,5312,2437,1412,5622,1687,1093,"Mature SIg Lambda"
"101",2812,5218,2466,4067,5306,3960,3523,5000,3095,3155,"Monocytes"
"112",1431,1872,6728,5515,5312,2012,6684,2515,2148,1552,"CD4+CD8-"
"116",1159,3770,7015,5730,5566,1539,6090,2906,2392,1969,"CD4+CD8-"
"122",2296,5151,2530,1068,5706,5119,1557,5775,2194,1565,"CD56dim"
"127",2076,4755,6953,5683,5495,1866,5824,1822,1134,1020,"CD4+CD8-"
"128",2574,3782,6944,5396,5388,1268,6264,827,1509,955,"CD4+CD8-"
"142",2263,5583,847,1183,5131,2689,2198,4303,1833,1144,"CD56dim"
"145",2137,2358,6861,5725,5482,1719,5585,1820,1807,1260,"CD4+CD8-"
"150",5942,2419,2382,6983,5220,6017,3850,3981,1872,1186,"Mature SIg Kappa"
"151",1415,3173,7037,3107,5921,1947,6833,6552,4180,2279,"CD8+CD4-"
"152",2108,3549,6369,1433,5642,1625,5447,6310,1506,1293,"CD8+CD4-"
"160",6137,4202,1422,6389,5371,1319,1935,6248,1584,1054,"Mature SIg Lambda"
"164",3392,2421,6816,5469,5424,1595,6741,2092,1920,1277,"CD4+CD8-"
"165",6029,3053,2082,6104,5153,2557,2682,4987,1713,1172,"Mature SIg Lambda"
"167",2567,3162,3969,3959,5304,2714,3531,4342,4979,6890,"Eosinophils"
"168",6003,4289,2983,6035,5205,1657,2769,5465,1462,1172,"Mature SIg Lambda"
"176",2606,4687,2360,4056,5199,4365,2634,4830,2856,2883,"Monocytes"
"178",3877,3844,7118,5599,5366,1115,6138,2464,1762,638,"CD4+CD8-"
"181",3123,5916,6403,1156,5654,1446,5708,6377,2166,915,"CD8+CD4-"
"184",2946,3597,6426,4677,4219,3099,5433,3174,1507,920,"CD4+CD8-"
"187",2350,3020,6582,5610,5558,1756,7238,1897,2233,1288,"CD4+CD8-"
"188",6193,4390,1263,6452,5187,5291,4180,2866,1431,1119,"Mature SIg Kappa"
"190",2369,5046,7268,5546,5320,1699,5874,2523,1826,906,"CD4+CD8-"
"194",2267,2069,7237,5719,5355,1951,6176,2826,1530,1277,"CD4+CD8-"
"198",2968,3829,3660,4462,5433,3016,3214,4351,5872,7394,"Eosinophils"
"205",5945,3951,2582,6077,5087,2024,1648,5563,1273,932,"Mature SIg Lambda"
"211",3033,1890,7026,5661,5431,1669,6518,2745,1919,1348,"CD4+CD8-"
"218",2922,4918,2873,4817,5788,4451,3270,4910,3247,3245,"Monocytes"
"220",2046,3712,6982,5296,5191,2005,5896,2203,2475,1257,"CD4+CD8-"
"222",5478,4874,3684,6407,4860,4993,5153,3158,1481,1130,"Mature SIg Kappa"
"229",2746,3589,1233,2226,5023,4932,1445,5469,1969,1158,"CD56dim"
"232",5697,2862,1697,6045,5155,2354,2297,4997,1400,969,"Mature SIg Lambda"
