"","CD19/TCRgd:PE Cy7-A LOGICAL","CD38:APC H7-A LOGICAL","CD3:APC-A LOGICAL","CD4+CD20:PB-A LOGICAL","CD45:PO-A LOGICAL","CD56+IgK:PE-A LOGICAL","CD5:PerCP Cy5-5-A LOGICAL","CD8+IgL:FITC-A LOGICAL","FSC-A LINEAR","SSC-A Exp-SSC Low","Population ID (name)"
"4",1844,3126,6513,5660,5313,1835,6161,1962,2548,1334,"CD4+CD8-"
"5",5867,3127,2042,6397,5196,1340,1949,5274,2107,1237,"Mature SIg Lambda"
"7",2856,3026,6995,5754,5600,1480,5247,2174,2376,1302,"CD4+CD8-"
"9",1990,3142,7118,1577,5304,1203,5142,6225,1856,996,"CD8+CD4-"
"10",2732,1695,6816,881,5337,1240,5754,6300,1936,1328,"CD8+CD4-"
"16",1645,2559,6944,5633,5160,2180,6132,2199,2504,1591,"CD4+CD8-"
"17",2240,5049,6524,3432,5578,2644,5467,6180,2198,1358,"CD8+CD4-"
"27",3094,4623,7553,5874,5367,1453,5952,2153,2597,1382,"CD4+CD8-"
"28",1864,3008,6810,5405,5020,1549,5230,1750,1776,965,"CD4+CD8-"
"31",3278,4415,6860,2796,5483,1838,5864,6283,2257,1232,"CD8+CD4-"
"33",2190,4292,7066,5646,5185,1980,5878,1877,2108,1202,"CD4+CD8-"
"34",1341,2256,7042,5655,5455,2192,5826,1970,1920,1021,"CD4+CD8-"
"46",1957,4876,1681,853,5376,4624,1760,2533,2325,1622,"CD56dim"
"56",907,3759,7023,5900,5460,1747,5965,2707,2142,1205,"CD4+CD8-"
"57",1928,2690,7230,5711,5336,1354,6127,2590,2384,1264,"CD4+CD8-"
"72",1599,2142,6821,5937,5468,2076,5659,1931,2419,1416,"CD4+CD8-"
"74",6056,3723,1752,6254,5343,5953,2349,3285,1920,917,"Mature SIg Kappa"
"76",2503,3648,7084,616,5508,1030,5673,6245,2219,1331,"CD8+CD4-"
"85",2413,2826,6676,5780,5405,1998,6097,2505,2123,1205,"CD4+CD8-"
"92",2038,2857,6975,5791,5476,1267,5131,2674,2489,1264,"CD4+CD8-"
"99",2193,4015,7182,5729,5130,1044,6059,2349,1964,1137,"CD4+CD8-"
"111",2394,3751,7031,5811,5273,1526,5771,2861,2458,1012,"CD4+CD8-"
"120",1707,3218,7093,5809,5236,1544,5464,2007,1790,741,"CD4+CD8-"
"123",1900,4417,1885,4451,4918,4795,1500,4863,3910,3323,"Monocytes"
"124",2177,1665,6499,2185,5560,1132,4452,5891,2305,1259,"CD8+CD4-"
"135",2323,2554,3995,4392,5156,3118,3656,4335,3427,6790,"Eosinophils"
"138",1871,2651,6836,3429,5673,2099,5172,6231,2396,1469,"CD8+CD4-"
"144",6241,2268,1620,6551,5464,6445,898,3191,2115,1024,"Mature SIg Kappa"
"145",2001,2584,6846,727,5563,2445,5057,6243,2524,1294,"CD8+CD4-"
"148",3076,3399,7205,5773,5319,1206,5656,2163,2138,1057,"CD4+CD8-"
"152",1894,4047,2754,4617,5191,5106,1454,5122,4177,3354,"Monocytes"
"156",2173,3192,7036,420,5229,1506,5387,6131,1922,1057,"CD8+CD4-"
"157",2549,3482,7448,5873,5243,372,6001,1584,2227,1073,"CD4+CD8-"
"161",2535,3161,7172,3184,5450,1867,5607,6331,1904,1199,"CD8+CD4-"
"163",1052,3308,6834,1578,5308,2027,5787,6045,2161,1158,"CD8+CD4-"
"180",2412,3689,7052,747,5504,2074,5867,6097,2438,1366,"CD8+CD4-"
"181",1973,4413,2197,4311,5063,5098,1710,5133,4602,3996,"Monocytes"
"186",2553,2566,7208,5508,5301,1885,5390,1825,2174,1278,"CD4+CD8-"
"190",2467,4396,1952,1588,5431,4875,1318,3234,2158,1526,"CD56dim"
"194",2954,3724,7243,1333,5534,4893,4840,2313,2579,1516,"TCRgd-"
"200",1866,3356,6904,1137,5356,2030,5284,6249,1917,1076,"CD8+CD4-"
"216",2465,3000,6593,5911,5354,1572,6519,2042,2612,1609,"CD4+CD8-"
"220",6028,2736,823,6485,5590,2860,2177,6944,2185,1390,"Mature SIg Lambda"
"224",1937,5415,1275,1993,5252,5328,2491,3932,2501,1637,"CD56dim"
"227",2112,2374,3351,4088,5151,2984,3265,3884,2827,6352,"Eosinophils"
"238",1837,5138,2440,2012,5357,4770,2599,3512,2365,1596,"CD56dim"
"249",1913,3786,7139,5735,5270,1664,5669,1251,1976,987,"CD4+CD8-"
"266",5898,2160,1042,6321,5478,1741,1846,6824,2226,1115,"Mature SIg Lambda"
"281",2911,4860,7039,411,5493,2359,5859,6306,2256,1505,"CD8+CD4-"
"288",2725,3868,6667,6010,5489,1510,6348,1872,2369,1267,"CD4+CD8-"
"294",2083,3438,7213,5897,5415,1355,4918,3157,2602,1539,"CD4+CD8-"
"297",1515,3258,6986,5522,4976,1441,5683,2428,2170,903,"CD4+CD8-"
"298",2273,2200,3676,4242,5282,3695,3933,4230,3907,6415,"Eosinophils"
"306",2679,4435,7244,5825,5392,1611,6170,1974,2356,1213,"CD4+CD8-"
"307",2838,3047,6979,5714,5454,1052,5961,2630,2325,1329,"CD4+CD8-"
"308",1961,2606,6835,5938,5545,1275,5110,2376,2698,1307,"CD4+CD8-"
"309",1809,3230,7163,1179,5364,956,6079,6159,2189,1267,"CD8+CD4-"
"312",2094,3193,6796,5727,5443,1321,6044,2326,2493,1245,"CD4+CD8-"
"319",1823,3448,7080,5811,5208,1492,5408,1877,1842,801,"CD4+CD8-"
"322",2184,1258,7183,1086,5444,1976,5744,6273,2181,1037,"CD8+CD4-"
"327",3599,3201,6907,1532,5326,1794,5836,2545,2680,1345,"TCRgd-"
"331",1747,4469,2846,3737,4960,5211,2827,5149,3937,3828,"Monocytes"
"337",1860,2434,6847,1134,5519,2439,4135,6014,2184,1366,"CD8+CD4-"
"342",2489,3731,7008,1388,5332,1187,5896,6250,2148,1142,"CD8+CD4-"
"350",1723,4244,7028,5688,5197,978,5268,2413,1893,798,"CD4+CD8-"
"351",3579,4527,6886,5729,5406,1219,6074,2291,2285,1224,"CD4+CD8-"
"353",2309,2887,3148,3977,5114,3159,3770,4109,3871,6518,"Eosinophils"
"358",3256,4839,7078,278,5438,1188,6005,6262,1927,1046,"CD8+CD4-"
"369",1315,3431,6885,5581,5166,1557,6017,2190,1971,931,"CD4+CD8-"
"380",2006,3920,2708,4624,5577,4895,1672,4887,4984,3261,"Monocytes"
"386",2760,3114,6718,5815,5412,2265,5549,2038,2029,1167,"CD4+CD8-"
"388",1729,4357,2590,4407,4933,5195,1858,5239,4650,3823,"Monocytes"
"405",1248,2910,6681,5779,5340,1111,5559,2079,2054,1150,"CD4+CD8-"
